player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Virdel Edwards II,99286,CB,HAWAII,7,172,0,180,0,0.3,100.0,100.0,12.0,12.0,0,0,0.0,70.2,0,9,0.0,0,0,79.2,3,37,21.5,37,1,4,3,0,9,8,0.3,3.0,0,0,11.9,80.0,100.0,13.6,10.9,1,2,20.0,65.5,0,52,16.7,1,2,152.1,8,118,68.6,118,3,5,10,1,156,58,1.4,19.5
Deshawn McCuin,99502,S,S DIEGO ST,4,58,0,284,0,7.0,75.0,94.1,5.0,3.8,0,0,0.0,64.8,0,6,50.0,1,0,80.2,3,16,27.6,17,1,1,4,0,15,15,1.0,5.0,0,0,11.0,33.3,100.0,34.0,11.3,0,1,33.3,71.4,0,9,0.0,0,1,42.4,1,35,60.3,35,1,2,3,0,9,3,0.3,9.0
Nate Temple,99726,ED,PITTSBURGH,5,1,0,268,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,3,0,0,0,0,0,0,,,0,0,,,2.6,,,0,0,,61.2,0,,0.0,0,0,0.0,0,1,100.0,39,0,1,0,0,0,0,0.0,
Cecil Powell,99735,S,SM HOUSTON,5,128,0,281,0,3.3,50.0,90.5,18.0,9.0,0,1,25.0,72.9,0,11,0.0,0,1,60.4,2,38,29.7,42,0,5,4,0,16,20,0.4,8.0,0,2,2.4,77.8,90.3,7.4,5.8,1,2,22.2,75.9,0,16,0.0,0,1,89.8,7,56,43.8,62,4,10,9,0,50,48,1.0,7.1
Jordan Huff,99745,S,GA STATE,6,127,0,175,1,,,100.0,,,0,0,,62.5,0,,33.3,1,0,0.0,0,36,28.3,36,0,1,0,0,0,0,0.0,,0,0,10.4,60.0,98.6,22.0,13.2,0,1,20.0,88.3,1,20,14.3,1,1,42.5,3,68,53.5,69,2,6,5,0,36,16,0.5,12.0
Antonio Clary,99757,S,VIRGINIA,3,16,0,335,0,,,100.0,,,0,0,,64.5,0,,,0,0,0.0,0,7,43.8,7,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,65.2,0,,0.0,0,0,0.0,0,4,25.0,4,0,1,0,0,0,0,0.0,
Rico Watson III,99809,ED,USF,6,66,0,327,0,,,21.9,,,0,0,,63.2,0,,,0,0,0.0,0,7,10.6,32,0,0,0,0,0,0,0.0,,0,1,4.3,77.8,50.9,7.9,6.1,0,0,0.0,45.0,0,15,25.0,3,0,90.3,7,56,84.8,110,4,8,9,0,51,23,0.9,7.3
Ben Smiley,99845,ED,UCONN,5,5,0,146,0,-2.0,100.0,16.1,5.0,5.0,0,0,0.0,55.7,0,5,100.0,1,0,127.1,1,5,100.0,31,0,0,1,1,5,7,1.0,5.0,0,1,,,0.0,,,0,0,,62.7,0,,50.0,2,0,0.0,0,0,0.0,66,1,1,0,0,0,0,,
Blaine Spires,100324,ED,PITTSBURGH,4,1,0,268,0,,,16.7,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,6,0,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,60.0,0,,,0,0,0.0,0,0,0.0,66,2,0,0,0,0,0,,
Stephon Wright,100437,DI,UCONN,6,5,0,146,0,12.0,100.0,16.0,4.0,4.0,0,0,0.0,54.7,0,19,,0,0,158.3,1,4,80.0,25,0,0,1,1,19,7,4.8,19.0,0,0,,,2.5,,,0,0,,61.8,0,,,0,0,0.0,0,1,20.0,40,0,0,0,0,0,0,0.0,
Levani Damuni,100457,LB,UTAH,6,48,0,328,0,-6.0,50.0,82.1,30.0,15.0,0,0,0.0,70.0,0,7,,0,0,58.3,1,32,66.7,39,0,0,2,0,7,13,0.2,7.0,0,0,12.0,50.0,60.0,12.0,6.0,0,0,0.0,49.4,0,11,0.0,0,0,66.7,1,12,25.0,20,0,1,2,0,11,12,0.9,11.0
Naki Fahina,101179,DI,UTAH ST,5,1,0,329,0,,,5.6,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,18,0,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,44,0,1,0,0,0,0,,
